id_estadistica_partido,id_partido,id_seleccion,xg,posesion_pct,disparos_totales,disparos_al_arco,corners,faltas_cometidas,tarjetas_amarillas,tarjetas_rojas,pases_completados,precision_pases_pct
ESTP-000046,PAR-000023,FRA,,62,16,6,9,12,2,0,,
ESTP-000047,PAR-000024,FRA,,62,28,8,16,14,2,0,,
ESTP-000048,PAR-000024,CRO,,38,5,0,0,24,6,0,,
ESTP-000049,PAR-000025,GER,,56,20,6,9,11,3,0,,
ESTP-000050,PAR-000025,FRA,,44,16,9,6,7,2,0,,
ESTP-000051,PAR-000026,ARG,,,,,,,,1,,
ESTP-000052,PAR-000029,ECU,,,,,,,,1,,
ESTP-000053,PAR-000029,ARG,,,,,,,,1,,
ESTP-000054,PAR-000033,ALB,0.63,41,10,4,2,6,2,0,351,81.3
ESTP-000055,PAR-000033,ESP,1.51,59,16,3,6,15,1,0,549,87.1
ESTP-000056,PAR-000034,SRB,0.27,47,6,1,2,19,2,0,462,84.3
ESTP-000057,PAR-000034,ENG,0.65,53,5,3,1,8,0,0,543,87.9
ESTP-000058,PAR-000035,ENG,0.90,73,12,4,6,11,3,0,710,89.9
ESTP-000059,PAR-000035,SVN,0.21,27,4,1,0,9,2,0,219,74.2
ESTP-000060,PAR-000036,ESP,3.51,75,35,13,13,11,1,0,782,92.0
ESTP-000061,PAR-000036,GEO,0.25,25,4,0,3,5,1,0,225,78.9
ESTP-000062,PAR-000037,ENG,1.44,63,16,2,9,12,3,0,737,84.5
ESTP-000063,PAR-000037,SVK,1.88,37,13,3,1,19,6,0,400,77.8
ESTP-000064,PAR-000038,CHI,0.13,39,3,3,0,12,2,0,306,77.9
ESTP-000065,PAR-000038,ARG,2.78,61,22,9,11,9,0,0,521,87.6
ESTP-000066,PAR-000039,ARG,2.11,75,12,6,6,11,1,0,594,89.1
ESTP-000067,PAR-000039,PER,0.17,25,6,1,3,20,5,0,176,70.4
ESTP-000068,PAR-000040,BRA,1.71,74,19,3,9,13,1,0,660,88.2
ESTP-000069,PAR-000040,CRC,0.03,26,2,0,1,10,2,0,191,72.9
ESTP-000070,PAR-000041,PAR,0.69,45,15,6,4,12,2,1,349,82.7
ESTP-000071,PAR-000041,BRA,3.74,55,17,6,6,13,3,0,430,86.0
ESTP-000072,PAR-000042,ENG,,63.6,12,2,9,10,2,0,,
ESTP-000073,PAR-000042,GRE,,36.4,12,3,5,14,4,0,,
ESTP-000074,PAR-000043,ENG,,74,22,7,12,7,4,0,,
ESTP-000075,PAR-000043,IRL,,26,1,1,0,9,2,1,,
ESTP-000076,PAR-000046,ENG,0.71,,8,2,1,9,1,0,391,83.2
ESTP-000077,PAR-000046,CRO,0.34,,8,1,1,13,3,0,405,83.9
ESTP-000078,PAR-000047,ESP,1.93,,17,5,6,8,0,0,841,88.9
ESTP-000079,PAR-000047,SWE,0.82,,4,0,1,15,1,0,94,54.3
ESTP-000080,PAR-000048,FRA,0.45,,4,1,3,8,0,0,375,81.0
ESTP-000081,PAR-000048,GER,0.83,,10,1,5,13,1,0,644,87.9
ESTP-000082,PAR-000049,ESP,2.61,,12,5,7,17,2,0,658,87.3
ESTP-000083,PAR-000049,POL,0.55,,5,2,1,21,4,0,146,60.3
ESTP-000084,PAR-000050,HUN,0.47,,5,3,1,19,1,0,293,79.4
ESTP-000085,PAR-000050,FRA,1.69,,17,4,3,18,1,0,605,88.8
ESTP-000086,PAR-000051,CZE,0.39,,7,1,4,11,1,0,334,77.7
ESTP-000087,PAR-000051,ENG,0.64,,6,3,6,12,0,0,462,83.4
ESTP-000088,PAR-000052,SVK,0.09,,3,0,0,18,2,0,293,79.6
ESTP-000089,PAR-000052,ESP,3.22,,19,9,7,8,2,0,631,89.9
ESTP-000090,PAR-000053,POR,2.04,,10,5,0,13,0,0,505,90.8
ESTP-000091,PAR-000053,FRA,1.51,,11,5,1,20,4,0,570,92.4
ESTP-000092,PAR-000054,CRO,2.79,,11,6,1,27,2,0,391,81.1
ESTP-000093,PAR-000054,ESP,2.78,,24,10,8,12,0,0,827,88.9
ESTP-000094,PAR-000055,FRA,2.65,,26,8,8,18,3,0,582,85.8
ESTP-000095,PAR-000055,SUI,1.85,,13,5,5,19,4,0,476,83.8
ESTP-000096,PAR-000056,ENG,1.16,,5,4,3,12,3,0,395,83.0
ESTP-000097,PAR-000056,GER,1.06,,9,3,3,13,2,0,470,84.2
ESTP-000098,PAR-000057,SUI,0.82,,8,2,9,17,2,1,277,69.3
ESTP-000099,PAR-000057,ESP,3.01,,29,11,13,15,1,0,922,89.4
ESTP-000100,PAR-000058,UKR,0.34,,7,2,3,10,0,0,540,90.0
ESTP-000101,PAR-000058,ENG,1.22,,10,6,2,4,0,0,589,90.9
ESTP-000102,PAR-000059,ITA,0.40,,7,4,1,20,2,0,321,75.5
ESTP-000103,PAR-000059,ESP,1.40,,16,4,6,19,1,0,833,88.1
ESTP-000104,PAR-000060,ENG,3.05,,21,10,6,11,1,0,680,86.7
ESTP-000105,PAR-000060,DEN,0.38,,6,3,5,23,1,0,448,80.4
ESTP-000106,PAR-000061,ITA,2.08,,19,6,3,25,5,0,781,88.2
ESTP-000107,PAR-000061,ENG,0.43,,6,1,5,22,1,0,351,75.5
